Start,End,N= ,Approval,Disapproval ,No opinion,Male,Female,18-29,30-49,50-64,65+,East ,Midwest,South,West,White,Nonwhite,Black,Hispanic,High school,Some college,College graduate only,Postgraduate,All college grads,All non-college grads,Less than $2000,$2000-$4999,$5000-$7499,$7500 or more,Democrat,Independent ,Republican,Liberal,Moderate,Concservative,Liberal Democrat,Moderate Democrat,Conservative Democrat,Pure Independent,Libera/Moderate Republican,Conservative Republican,Weekly,Nearly weekly/Monthly,Seldom/Never,Yes,No,,
"Feb 11, 2013","Feb 17, 2013","3,564",51,43,6,46,55,56,50,52,46,57,47,46,56,39,80,92,72,55,45,47,57,51,51,62,49,45,46,87,49,12,79,56,28,90,84,81,45,25,8,44,52,55,44,60,,
"Feb 4, 2013","Feb 10, 2013","3,555",52,42,6,49,56,64,53,47,47,61,48,48,54,40,83,93,76,54,49,50,56,52,52,65,47,51,48,89,51,11,81,62,24,91,87,76,45,30,8,44,54,58,44,63,,
"Jan 28, 2013","Feb 3, 2013","3,061",53,42,6,49,56,64,52,50,44,59,49,49,56,40,83,95,76,51,48,52,65,58,50,57,52,48,52,90,47,13,84,61,28,95,85,82,37,28,8,46,59,54,46,61,,
"Jan 21, 2013","Jan 27, 2013","3,573",52,43,5,47,57,61,50,52,48,60,50,48,54,41,80,92,72,53,49,50,59,54,51,57,53,48,48,91,48,11,82,60,26,92,89,83,37,21,9,46,51,58,45,62,,
"Jan 14, 2013","Jan 20, 2013","3,553",50,43,7,47,53,62,52,47,39,55,51,47,51,40,75,91,63,54,44,49,53,51,50,58,51,46,46,88,46,13,81,58,26,93,84,75,35,24,10,42,52,56,42,60,,
"Jan 7, 2013","Jan 13, 2012","3,550",54,41,6,49,58,62,55,51,47,61,49,52,53,43,81,91,72,55,49,50,61,55,53,60,52,47,52,92,48,13,82,63,27,93,90,80,41,28,7,46,57,59,47,63,,
"Dec 31, 2012","Jan 6, 2013","2,042",53,40,7,50,55,63,50,51,51,54,53,50,55,42,79,90,70,53,48,51,63,57,51,59,52,49,51,87,49,12,83,60,27,90,83,76,41,28,7,44,54,59,47,60,,
"Dec 24, 2012","Dec 30, 2012","2,611",53,41,6,47,59,65,51,53,45,61,50,51,52,40,84,94,77,53,49,52,62,57,51,66,50,48,50,93,46,12,83,61,27,93,91,80,37,21,7,48,56,55,44,64,,
"Dec 17, 2012","Dec 23, 2012","3,212",57,37,7,51,62,63,59,55,46,65,53,50,62,47,81,93,74,58,52,53,64,58,55,66,55,54,58,92,53,15,87,65,29,96,90,80,42,32,8,48,57,62,50,64,,
"Dec 10, 2012","Dec 16, 2012","3,623",52,40,8,49,55,60,52,51,44,56,56,44,55,41,79,90,70,52,50,49,60,54,51,61,51,48,48,91,47,9,84,60,25,93,88,83,39,24,7,43,54,57,43,61,,
"Dec 3, 2012","Dec 9, 2012","3,637",50,44,6,47,54,55,55,48,41,56,50,46,51,39,83,92,77,50,48,48,59,53,49,64,49,46,46,89,50,11,80,58,26,90,87,75,46,25,8,41,53,56,42,60,,
"Nov 26, 2012","Dec 2, 2012","3,577",51,42,6,48,55,61,51,50,44,59,50,46,54,41,81,88,77,52,51,47,56,51,52,62,52,45,50,90,51,10,84,60,24,94,88,79,41,23,6,44,50,57,44,60,,
"Nov 19, 2012","Nov 25, 2012","3,148",52,40,8,49,54,62,52,48,45,59,54,45,52,42,78,88,73,52,49,48,62,54,51,59,54,48,51,90,49,12,85,57,26,93,84,81,37,23,8,41,57,56,44,60,,
"Nov 12, 2012","Nov 18, 2012","3,669",53,41,6,49,56,62,50,52,48,60,50,48,55,41,82,91,76,54,49,50,59,54,52,63,48,50,49,90,50,12,84,58,27,93,87,83,45,22,7,41,57,59,45,62,,
"Nov 5, 2012","Nov 11, 2012","3,585",51,43,6,47,54,61,50,50,43,60,48,48,48,40,78,91,70,52,50,46,55,50,51,60,50,50,44,91,48,7,85,58,22,95,89,78,38,15,5,39,53,59,42,60,,
"Oct 29, 2012","Nov 4, 2012","3,117",52,45,3,48,55,63,52,48,46,59,49,50,52,40,82,93,75,56,49,45,56,50,53,68,54,46,45,92,51,6,85,63,24,95,90,81,43,17,5,43,53,59,44,63,,
"Oct 22, 2012","Oct 28, 2012","3,682",50,45,5,46,54,60,53,46,39,57,49,46,49,38,77,91,68,52,46,45,58,50,50,63,50,44,47,91,48,7,84,57,25,94,87,86,40,17,5,42,52,56,42,59,,
"Oct 15, 2012","Oct 21, 2012","3,570",50,45,5,45,53,59,52,47,38,55,51,45,51,38,77,87,70,53,47,43,53,47,51,63,51,42,45,89,50,9,84,61,22,93,86,79,48,23,5,41,50,57,41,60,,
"Oct 8, 2012","Oct 14, 2012","3,553",50,45,6,47,52,59,48,49,43,56,50,44,52,39,75,88,66,52,47,45,54,49,50,59,51,46,47,90,47,9,80,58,26,92,87,88,37,19,5,45,50,53,43,59,,
"Oct 1, 2012","Oct 7, 2012","3,541",52,43,5,46,56,67,51,46,44,58,53,46,52,41,77,91,69,55,47,48,57,52,51,62,51,46,47,89,52,8,87,58,25,94,87,81,49,19,6,40,54,59,44,62,,
"Sep 24, 2012","Sep 30, 2012","3,692",48,45,6,45,51,58,48,45,42,54,50,42,52,39,74,86,65,47,47,46,57,51,47,56,45,48,47,88,46,8,80,56,22,91,84,75,37,17,6,38,50,55,40,57,,
